distance_km,empreinte_train_kg,empreinte_avion_kg,ratio_co2,operateur,type_service,duree_trajet_min
698.0,13.98,110.254,0.1268,Укрзалізниця,0,343.0
389.0,9.336,61.462,0.1519,ÖBB-Personenverkehr AG,0,168.0
792.0,2.2,125.136,0.0176,SNCF Voyageurs SA,1,815.0
604.0,14.0,95.432,0.1467,C.F.R. Călători S.A.,1,716.0
703.0,24.3,111.074,0.2188,PKP Intercity S.A.,1,724.0
487.0,10.714,76.916,0.1393,C.F.R. Călători S.A.,0,222.0
1045.0,16.72,165.11,0.1013,HŽ Putnički prijevoz d.o.o.,0,500.0
745.0,15.645,118.01,0.1326,Железнице Србије ад,0,383.0
899.0,12.1,142.042,0.0852,VR-Yhtymä Oy,1,755.0
1029.0,18.5,162.582,0.1138,Укрзалізниця,1,1090.0
444.0,9.1,70.152,0.1297,БДЖ - Пътнически превози ЕООД,1,455.0
606.0,15.5,95.748,0.1619,C.F.R. Călători S.A.,1,779.0
917.0,15.2,144.886,0.1049,Укрзалізниця,1,982.0
995.0,17.0,157.21,0.1081,MÁV-START Vasúti Személyszállító Zrt.,1,788.0
611.0,15.275,96.502,0.1583,České dráhy a.s.,0,310.0
1139.0,24.0,179.962,0.1334,PKP Intercity S.A.,1,820.0
1358.0,25.7,214.564,0.1198,Trenitalia S.p.A,1,1009.0
1339.0,30.5,211.562,0.1442,TCDD Taşımacılık A.Ş.,1,145.0
1160.0,19.8,183.28,0.108,Укрзалізниця,1,1271.0
587.0,11.74,92.746,0.1266,Укрзалізниця,0,345.0
931.0,7.2,147.098,0.0489,Železničná spoločnosť Slovensko a.s.,1,1014.0
1477.0,25.8,233.366,0.1106,Укрзалізниця,1,1320.0
578.0,19.074,91.244,0.209,PKP Intercity S.A.,0,208.0
667.0,16.675,105.394,0.1582,Trenitalia S.p.A,0,309.0
1400.0,25.0,221.2,0.113,Укрзалізниця,1,1152.0
712.0,17.088,112.496,0.1519,ÖBB-Personenverkehr AG,0,332.0
469.0,13.7,74.102,0.1849,Железнице Србије ад,1,660.0
1314.0,1.5,207.612,0.0072,Merresor AB,1,950.0
1073.0,20.6,169.534,0.1215,Укрзалізниця,1,1141.0
1115.0,19.2,176.17,0.109,Укрзалізниця,1,952.0
412.0,10.3,65.096,0.1582,Trenitalia S.p.A,0,232.0
989.0,13.9,156.262,0.089,VR-Yhtymä Oy,1,896.0
1185.0,24.7,187.23,0.1319,PKP Intercity S.A.,1,935.0
584.0,13.5,92.272,0.1463,Calea Ferată din Moldova,1,822.0
796.0,2.4,125.768,0.0191,SNCF Voyageurs SA,1,730.0
647.0,12.7,102.226,0.1242,Trenitalia S.p.A,1,475.0
919.0,15.6,145.202,0.1074,Укрзалізниця,1,704.0
1265.0,1.4,199.87,0.007,Merresor AB,1,865.0
1439.0,16.1,227.362,0.0708,SJ AB,1,921.0
540.0,11.6,85.32,0.136,Укрзалізниця,1,777.0
1009.0,20.3,159.422,0.1273,Trenitalia S.p.A,1,786.0
851.0,19.4,134.458,0.1443,TCDD Taşımacılık A.Ş.,1,953.0
1052.0,1.1,166.216,0.0066,SJ AB,1,838.0
776.0,2.328,122.608,0.019,SJ AB,0,183.0
1481.0,16.1,233.998,0.0688,Merresor AB,1,926.0
482.0,0.16,76.156,0.0021,Vygruppen AS,1,444.0
564.0,11.2,89.112,0.1257,Укрзалізниця,1,456.0
760.0,26.1,120.08,0.2174,PKP Intercity S.A.,1,717.0
1337.0,22.6,211.246,0.107,Укрзалізниця,1,1199.0
919.0,15.6,145.202,0.1074,Укрзалізниця,1,710.0
817.0,13.8,129.086,0.1069,Укрзалізниця,1,890.0
1168.0,12.8,184.544,0.0694,ÖBB-Personenverkehr AG,1,883.0
677.0,6.5,106.966,0.0608,HŽ Putnički prijevoz d.o.o.,1,813.0
989.0,13.9,156.262,0.089,VR-Yhtymä Oy,1,866.0
448.0,9.856,70.784,0.1392,Calea Ferată din Moldova,0,209.0
903.0,5.3,142.674,0.0371,HŽ Putnički prijevoz d.o.o.,1,899.0
1358.0,25.7,214.564,0.1198,Trenitalia S.p.A,1,1036.0
1107.0,16.2,174.906,0.0926,European Sleeper Cooperatïe,1,698.5
1157.0,24.7,182.806,0.1351,C.F.R. Călători S.A.,1,1094.0
807.0,11.1,127.506,0.0871,HŽ Putnički prijevoz d.o.o.,1,780.0
529.0,4.7,83.582,0.0562,Železničná spoločnosť Slovensko a.s.,1,514.0
725.0,0.23,114.55,0.002,SJ Norge AS,1,600.0
487.0,10.714,76.916,0.1393,C.F.R. Călători S.A.,0,222.0
1055.0,5.275,166.69,0.0316,SNCF Voyageurs SA,0,435.0
934.0,20.548,147.572,0.1392,C.F.R. Călători S.A.,0,383.0
513.0,11.0,81.054,0.1357,БДЖ - Пътнически превози ЕООД,1,560.0
962.0,17.9,151.996,0.1178,Trenitalia S.p.A,1,820.0
459.0,9.5,72.522,0.131,C.F.R. Călători S.A.,1,520.0
591.0,13.9,93.378,0.1489,TCDD Taşımacılık A.Ş.,1,709.0
745.0,12.6,117.71,0.107,Železničná spoločnosť Slovensko a.s.,1,733.0
1171.0,22.5,185.018,0.1216,Укрзалізниця,1,1231.0
631.0,12.5,99.698,0.1254,Trenitalia S.p.A,1,503.0
1112.0,16.0,175.696,0.0911,ÖBB-Personenverkehr AG,1,882.0
606.0,13.0,95.748,0.1358,C.F.R. Călători S.A.,1,568.0
1427.0,30.5,225.466,0.1353,Trenitalia S.p.A,1,1245.0
1305.0,20.9,206.19,0.1014,Укрзалізниця,1,1230.0
539.0,11.0,85.162,0.1292,БДЖ - Пътнически превози ЕООД,1,570.0
831.0,19.0,131.298,0.1447,Astra Trans Carpatic SRL,1,1077.0
891.0,29.403,140.798,0.2088,PKP Intercity S.A.,0,426.0
758.0,11.4,119.764,0.0952,Укрзалізниця,1,855.0
740.0,20.6,116.92,0.1762,RegioJet a.s.,1,644.0
865.0,20.8,136.67,0.1522,Укрзалізниця,1,988.0
1261.0,28.7,199.238,0.144,TCDD Taşımacılık A.Ş.,1,131.0
533.0,11.4,84.214,0.1354,БДЖ - Пътнически превози ЕООД,1,472.0
1160.0,19.8,183.28,0.108,Укрзалізниця,1,1293.0
1112.0,16.0,175.696,0.0911,ÖBB-Personenverkehr AG,1,798.0
831.0,19.0,131.298,0.1447,Astra Trans Carpatic SRL,1,1091.0
604.0,14.0,95.432,0.1467,C.F.R. Călători S.A.,1,697.0
680.0,26.4,107.44,0.2457,PKP Intercity S.A.,1,572.0
863.0,20.712,136.354,0.1519,БДЖ - Пътнически превози ЕООД,0,411.0
1465.0,25.3,231.47,0.1093,Укрзалізниця,1,1303.0
989.0,3.1,156.262,0.0198,SNCF Voyageurs SA,1,853.0
839.0,15.102,132.622,0.1139,First Greater Western Ltd.,0,412.0
792.0,2.2,125.136,0.0176,SNCF Voyageurs SA,1,702.0
645.0,14.6,101.91,0.1433,Caledonian Sleeper Ltd.,1,465.0
867.0,16.658839,136.986,0.1216,Укрзалізниця,1,1016.0
553.0,15.064,87.022,0.1731,RegioJet a.s.,0,271.0
841.0,2.9,132.878,0.0218,SNCF Voyageurs SA,1,716.0
1400.0,25.0,221.2,0.113,Укрзалізниця,1,1078.0
588.0,0.18,92.904,0.0019,Go-Ahead Norge AS,1,535.0
493.0,10.3,77.894,0.1322,C.F.R. Călători S.A.,1,617.0
784.0,29.435,123.826,0.2377,MÁV-START Vasúti Személyszállító Zrt.,0,378.0
451.0,9.9,71.258,0.1389,C.F.R. Călători S.A.,1,534.0
803.0,13.1,126.874,0.1033,C.F.R. Călători S.A.,1,963.0
673.0,12.787,106.334,0.1203,VR-Yhtymä Oy,0,335.0
