distance_km,empreinte_train_kg,empreinte_avion_kg,ratio_co2,operateur,pays_operateur,trajet_id,gare_depart,gare_arrivee,heure_depart,heure_arrivee,type_service
606.0,15.5,95.748,0.1619,C.F.R. Călători S.A.,RO,CFR R 4116,Sighetu Marmației,București Nord,1899-12-30T15:52:00.000Z,1899-12-30T07:04:00.000Z,NUIT
876.0,15.4,138.408,0.1113,Укрзалізниця,UA,UZ 029 L,Uzhhorod,Kyiv Pasazhyrskyi,1899-12-30T18:55:00.000Z,1899-12-30T07:09:00.000Z,NUIT
614.0,0.67,97.012,0.0069,SJ AB,SE,SJ 2,Malmö C,Stockholm C,1899-12-30T22:30:00.000Z,1899-12-30T05:50:00.000Z,NUIT
533.0,11.4,84.214,0.1354,БДЖ - Пътнически превози ЕООД,BG,BDŽ 2626,Varna,Sofia,1899-12-30T21:55:00.000Z,1899-12-30T05:46:00.000Z,NUIT
817.0,13.8,129.086,0.1069,Укрзалізниця,UA,UZ 065 Š,Uman,Kharkiv,1899-12-30T17:39:00.000Z,1899-12-30T09:20:00.000Z,NUIT
1503.0,25.6,237.474,0.1078,Укрзалізниця,UA,UZ 013 K,Kyiv Pasazhyrskyi,Solotvyno,1899-12-30T15:58:00.000Z,1899-12-30T10:58:00.000Z,NUIT
405.0,9.8,63.99,0.1531,C.F.R. Călători S.A.,RO,CFR 1668,Iași,București Nord,1899-12-30T22:45:00.000Z,1899-12-30T05:28:00.000Z,NUIT
704.0,0.71,111.232,0.0064,SJ AB,SE,SJ 70 (U),Stockholm C,Umeå C,1899-12-30T22:39:00.000Z,1899-12-30T08:16:00.000Z,NUIT
870.0,21.5,137.46,0.1564,C.F.R. Călători S.A.,RO,CFR IC 472,București Nord,Budapest Keleti,1899-12-30T18:25:00.000Z,1899-12-30T08:50:00.000Z,NUIT
899.0,12.1,142.042,0.0852,VR-Yhtymä Oy,FI,VR IC 273,Helsinki / Helsingfors,Rovaniemi,1899-12-30T23:13:00.000Z,1899-12-30T11:03:00.000Z,NUIT
